year,region,industry,pounds_per_hour_worked
1997,uk,ALLINDUSTRIES,18.944359394999644
1997,uk,ABDE,29.33158883005673
1997,uk,C,18.77361799815352
1997,uk,F,12.772800441221323
1997,uk,G,13.959034767334906
1997,uk,H,16.981225186495873
1997,uk,I,8.846134193708213
1997,uk,J,24.533375121731986
1997,uk,K,27.967985308296
1997,uk,L,320.14399568492496
1997,uk,M,16.269217190954283
1997,uk,N,11.445567197873908
1997,uk,O,16.130535613593345
1997,uk,P,17.38294844205409
1997,uk,Q,12.485697674969131
1997,uk,R,12.01184847281078
1997,uk,ST,14.466126362505445
1997,northeast,ALLINDUSTRIES,16.527235642522538
1997,northeast,ABDE,25.032135565680505
1997,northeast,C,17.582609489824442
1997,northeast,F,11.436520212063389
1997,northeast,G,12.289494380894379
1997,northeast,H,13.265296331671722
1997,northeast,I,6.593476804808131
1997,northeast,J,25.040366732924973
1997,northeast,K,24.553293818917503
1997,northeast,L,381.62061946618826
1997,northeast,M,10.968469627640882
1997,northeast,N,8.574843810892563
1997,northeast,O,13.233557073735511
1997,northeast,P,16.775554983614043
1997,northeast,Q,12.566768342587375
1997,northeast,R,8.725241011197719
1997,northeast,ST,16.82132267961481
1997,northwest,ALLINDUSTRIES,16.946840625302013
1997,northwest,ABDE,21.430780000343084
1997,northwest,C,18.75550959612183
1997,northwest,F,12.296424622554051
1997,northwest,G,12.876611185540524
1997,northwest,H,15.550196126634159
1997,northwest,I,7.597515205944353
1997,northwest,J,19.390290895372758
1997,northwest,K,22.992123624343996
1997,northwest,L,281.2794465723938
1997,northwest,M,13.909436933357474
1997,northwest,N,9.724727334179287
1997,northwest,O,13.233420418967413
1997,northwest,P,17.324395448527046
1997,northwest,Q,12.364238547500403
1997,northwest,R,9.347028393481548
1997,northwest,ST,13.283163822549277
1997,yorkshirehumber,ALLINDUSTRIES,16.5809663838418
1997,yorkshirehumber,ABDE,24.453746309170732
1997,yorkshirehumber,C,17.002830766624317
1997,yorkshirehumber,F,11.769420563213956
1997,yorkshirehumber,G,12.362978157347943
1997,yorkshirehumber,H,13.265589137487588
1997,yorkshirehumber,I,8.092388576677546
1997,yorkshirehumber,J,21.60549724655101
1997,yorkshirehumber,K,20.540758178564708
1997,yorkshirehumber,L,348.6829253906656
1997,yorkshirehumber,M,14.786506209366866
1997,yorkshirehumber,N,9.541128954405501
1997,yorkshirehumber,O,12.980597404519783
1997,yorkshirehumber,P,17.029206757689906
1997,yorkshirehumber,Q,12.202395037863527
1997,yorkshirehumber,R,10.07478699798597
1997,yorkshirehumber,ST,13.802263117515922
1997,eastmidlands,ALLINDUSTRIES,17.06721084596678
1997,eastmidlands,ABDE,21.253741789252153
1997,eastmidlands,C,17.0160595136374
1997,eastmidlands,F,11.764556467505507
1997,eastmidlands,G,13.623872442375129
1997,eastmidlands,H,17.98825772718298
1997,eastmidlands,I,8.416121701871425
1997,eastmidlands,J,18.28641156408289
1997,eastmidlands,K,25.711983985830948
1997,eastmidlands,L,325.5435448901286
1997,eastmidlands,M,14.658009582643876
1997,eastmidlands,N,11.604723515658165
1997,eastmidlands,O,14.15756453999098
1997,eastmidlands,P,16.343395183602283
1997,eastmidlands,Q,10.911480620299097
1997,eastmidlands,R,10.889783126004634
1997,eastmidlands,ST,15.03380420605924
1997,westmidlands,ALLINDUSTRIES,16.888236830191875
1997,westmidlands,ABDE,23.70297116988599
1997,westmidlands,C,16.117555093308226
1997,westmidlands,F,12.5019911634631
1997,westmidlands,G,12.486499220816833
1997,westmidlands,H,14.76928167212443
1997,westmidlands,I,9.333310337164678
1997,westmidlands,J,17.73299623469464
1997,westmidlands,K,25.75193000820336
1997,westmidlands,L,339.9506264955342
1997,westmidlands,M,12.974397638764005
1997,westmidlands,N,9.256161429169769
1997,westmidlands,O,16.29373677070749
1997,westmidlands,P,16.311998641378242
1997,westmidlands,Q,11.964865646351003
1997,westmidlands,R,11.914237465021605
1997,westmidlands,ST,13.472982913265254
1997,east,ALLINDUSTRIES,19.02681499533584
1997,east,ABDE,24.062617156053047
1997,east,C,20.78044832057885
1997,east,F,13.562676273166987
1997,east,G,13.312635875096484
1997,east,H,15.300222345479193
1997,east,I,7.4367873801516415
1997,east,J,23.639969132840065
1997,east,K,24.13635172772779
1997,east,L,401.0880273712896
1997,east,M,19.672631677888422
1997,east,N,15.111357800551612
1997,east,O,14.464047362898027
1997,east,P,17.640380688936435
1997,east,Q,13.181146265807687
1997,east,R,10.061901985953075
1997,east,ST,11.722491005129674
1997,london,ALLINDUSTRIES,23.521629310813882
1997,london,ABDE,36.493866226104714
1997,london,C,22.121435398525428
1997,london,F,17.2645210104734
1997,london,G,19.452196854354607
1997,london,H,23.30595441221903
1997,london,I,13.124516027443196
1997,london,J,27.927267928259283
1997,london,K,35.946704510824866
1997,london,L,196.9945211074168
1997,london,M,17.866600089706612
1997,london,N,14.124772995733096
1997,london,O,17.324027564200314
1997,london,P,21.91162305886047
1997,london,Q,14.329109221062382
1997,london,R,16.42652678428726
1997,london,ST,20.40804200166183
1997,southeast,ALLINDUSTRIES,20.484835564072558
1997,southeast,ABDE,21.673214604393326
1997,southeast,C,23.39081154014704
1997,southeast,F,11.966608812306463
